,gameid,blue_top_player,blue_top_champion,blue_jng_player,blue_jng_champion,blue_mid_player,blue_mid_champion,blue_bot_player,blue_bot_champion,blue_sup_player,blue_sup_champion,red_top_player,red_top_champion,red_jng_player,red_jng_champion,red_mid_player,red_mid_champion,red_bot_player,red_bot_champion,red_sup_player,red_sup_champion,top_counter_winrate,mid_counter_winrate,jng_counter_winrate,bot_counter_winrate,sup_counter_winrate,result
447,6170-7773,0.5357142857142857,0.4885386819484241,0.5,0.5161290322580645,0.5294117647058824,0.4337606837606838,0.5476190476190477,0.4547069271758437,0.625,0.5136436597110754,0.45454545454545453,0.5513126491646778,0.5384615384615384,0.49870801033591733,0.40540540540540543,0.5402298850574713,0.4444444444444444,0.5204991087344029,0.375,0.4797734627831715,0.5901639344262295,0.6,0.5454545454545454,0.4421052631578947,0.46629213483146065,1
448,ESPORTSTMNT01/1402396,0.5714285714285714,0.46710526315789475,0.5714285714285714,0.6176470588235294,0.6,0.5757575757575758,0.6,0.5681818181818182,0.625,0.4940239043824701,0.5357142857142857,0.4604105571847507,0.4,0.45883777239709445,0.38461538461538464,0.5128205128205128,0.4782608695652174,0.47107438016528924,0.4375,0.4904891304347826,0.5714285714285714,0.5,1.0,0.42857142857142855,0.5211267605633803,1
449,ESPORTSTMNT06/1320691,0.631578947368421,0.5103626943005182,0.3181818181818182,0.4817432273262662,0.631578947368421,0.4954819277108434,0.38095238095238093,0.4838709677419355,0.6,0.4940239043824701,0.4857142857142857,0.46318289786223277,0.48484848484848486,0.5370370370370371,0.48484848484848486,0.4801699716713881,0.48484848484848486,0.4640250260688217,0.48484848484848486,0.4904891304347826,0.4583333333333333,0.4666666666666667,0.75,0.4864864864864865,0.5211267605633803,1
450,ESPORTSTMNT02/1405444,0.6923076923076923,0.44976076555023925,0.6666666666666666,0.4331896551724138,0.7333333333333333,0.5302325581395348,0.76,0.47530864197530864,0.7333333333333333,0.5136436597110754,0.2727272727272727,0.47391304347826085,0.30434782608695654,0.5129533678756477,0.3333333333333333,0.5073375262054507,0.22580645161290322,0.49712643678160917,0.46153846153846156,0.46774193548387094,0.4,0.5,0.45901639344262296,0.48333333333333334,0.5,1
451,EUW1/4414450520,1.0,0.5050505050505051,1.0,0.5009009009009009,0.78125,0.4426877470355731,1.0,0.47530864197530864,1.0,0.4543010752688172,0.2727272727272727,0.4604105571847507,0.3466666666666667,0.4329608938547486,0.3548387096774194,0.41836734693877553,0.42105263157894735,0.5204991087344029,0.6666666666666666,0.413447782546495,0.375,1.0,0.4262295081967213,0.4895833333333333,0.3055555555555556,1
452,ESPORTSTMNT02/1520521,0.8,0.5103626943005182,0.4444444444444444,0.4331896551724138,0.7777777777777778,0.5302325581395348,0.6428571428571429,0.4839650145772595,0.7,0.4351145038167939,0.46153846153846156,0.48951048951048953,0.3333333333333333,0.4503311258278146,0.4375,0.5,0.47368421052631576,0.4783362218370884,0.25,0.4904891304347826,0.6363636363636364,0.6470588235294118,0.38095238095238093,0.5051546391752577,0.43859649122807015,0
453,ESPORTSTMNT01/1412568,0.55,0.4885386819484241,0.52,0.4331896551724138,0.52,0.5,0.55,0.5,0.52,0.4940239043824701,0.3125,0.484375,0.47058823529411764,0.5129533678756477,0.3333333333333333,0.5106382978723404,0.3125,0.5204991087344029,0.3125,0.5044326241134752,0.0,0.4,0.45901639344262296,0.0,0.538961038961039,0
454,ESPORTSTMNT05/1430445,0.6666666666666666,0.5508982035928144,0.6666666666666666,0.5009009009009009,0.4,0.4166666666666667,0.8333333333333334,0.5681818181818182,0.6666666666666666,0.4946091644204852,0.7894736842105263,0.5420560747663551,0.7894736842105263,0.459915611814346,0.7894736842105263,0.5094339622641509,0.7894736842105263,0.487778958554729,0.7894736842105263,0.4797734627831715,1.0,1.0,0.4742268041237113,0.7272727272727273,0.4508670520231214,1
455,6390-8279,0.12121212121212122,0.5111111111111111,0.10344827586206896,0.5163934426229508,0.12121212121212122,0.5025125628140703,0.14285714285714285,0.4442916093535076,0.10714285714285714,0.5136436597110754,0.4838709677419355,0.5244565217391305,0.35714285714285715,0.459915611814346,0.4,0.5073375262054507,0.45,0.4640250260688217,0.3333333333333333,0.4797734627831715,0.5714285714285714,0.5,0.375,0.3945945945945946,0.46629213483146065,0
456,ESPORTSTMNT03/1321760,0.4230769230769231,0.4618973561430793,0.6,0.4954954954954955,0.5625,0.48484848484848486,0.6363636363636364,0.5555555555555556,0.6,0.48398576512455516,0.3,0.4166666666666667,0.2222222222222222,0.45883777239709445,0.3888888888888889,0.4935064935064935,0.2222222222222222,0.5204991087344029,0.3,0.2,0.6428571428571429,0.6666666666666666,0.4,0.6666666666666666,0.0,0
457,6900-9165,0.49056603773584906,0.3774104683195592,0.2631578947368421,0.4318181818181818,0.48148148148148145,0.4746268656716418,0.7894736842105263,0.4663805436337625,0.2608695652173913,0.3957345971563981,0.6976744186046512,0.42105263157894735,0.673469387755102,0.45454545454545453,0.5588235294117647,0.5,0.673469387755102,0.4728213977566868,0.673469387755102,0.4421768707482993,0.3333333333333333,0.4666666666666667,0.4,0.4111111111111111,0.1111111111111111,0
458,6624-8511,0.4411764705882353,0.45901639344262296,0.47619047619047616,0.4817432273262662,0.47619047619047616,0.42487883683360256,0.45,0.5288461538461539,0.45,0.4940239043824701,0.631578947368421,0.5244565217391305,0.64,0.5129533678756477,0.4594594594594595,0.48214285714285715,0.6,0.4640250260688217,0.59375,0.4904891304347826,0.5588235294117647,0.3448275862068966,0.4742268041237113,0.5547445255474452,0.5211267605633803,0
459,ESPORTSTMNT02/1380789,0.4666666666666667,0.4711111111111111,0.2631578947368421,0.45164835164835165,0.5833333333333334,0.4666666666666667,0.5,0.4663805436337625,0.5,0.4940239043824701,0.6785714285714286,0.5244565217391305,0.7,0.45883777239709445,0.7,0.5781818181818181,0.7,0.4783362218370884,0.68,0.46774193548387094,0.5294117647058824,0.4827586206896552,0.49038461538461536,0.47619047619047616,0.423728813559322,1
