Feature,Gain,Cover,Frequency
red_top_player,0.499,0.122,0.127
mid_counter_winrate,0.089,0.1,0.101
blue_bot_player,0.063,0.119,0.114
sup_counter_winrate,0.059,0.104,0.101
top_counter_winrate,0.055,0.105,0.101
blue_top_player,0.055,0.089,0.101
bot_counter_winrate,0.054,0.09,0.101
blue_jng_player,0.051,0.113,0.101
jng_counter_winrate,0.038,0.084,0.076
blue_sup_player,0.037,0.074,0.076
